Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population,Language
Bangladesh,1311,8.40E-06,0.84,156118464,Ruby
Kosovo,15,8.33E-06,0.83,1800000,Python
Cameroon,159,8.24E-06,0.82,19294149,Java
Macedonia,17,8.25E-06,0.82,2061000,Objective-C
Iran,632,8.22E-06,0.82,76923300,Ruby
Zambia,110,8.17E-06,0.82,13460305,Ruby
Bahrain,6,8.13E-06,0.81,738004,JavaScript
Honduras,64,8.01E-06,0.8,7989415,Shell
Cape Verde,4,7.86E-06,0.79,508659,C
Thailand,532,7.93E-06,0.79,67089500,Objective-C
Puerto Rico,31,7.91E-06,0.79,3916632,Python
South Africa,383,7.82E-06,0.78,49000000,Objective-C
Uruguay,27,7.77E-06,0.78,3477000,Objective-C
El Salvador,47,7.77E-06,0.78,6052064,PHP
Sri Lanka,168,7.81E-06,0.78,21513990,Python
Saudi Arabia,197,7.66E-06,0.77,25731776,JavaScript
Kazakhstan,117,7.63E-06,0.76,15340000,C
Turkey,581,7.47E-06,0.75,77804122,Shell
Vietnam,665,7.42E-06,0.74,89571130,Shell
Liberia,26,7.06E-06,0.71,3685076,Shell
Qatar,6,7.13E-06,0.71,840926,Shell
Paraguay,45,7.06E-06,0.71,6375830,PHP
Iran,530,6.89E-06,0.69,76923300,Java
Cambodia,100,6.92E-06,0.69,14453680,Shell
Ireland,32,6.92E-06,0.69,4622917,C#
El Salvador,41,6.77E-06,0.68,6052064,Java
Fiji,6,6.85E-06,0.68,875983,JavaScript
Mongolia,21,6.80E-06,0.68,3086918,PHP
Indonesia,1658,6.82E-06,0.68,242968342,Ruby
Bolivia,67,6.74E-06,0.67,9947418,Shell
Philippines,671,6.72E-06,0.67,99900177,C
Azerbaijan,56,6.74E-06,0.67,8303512,C++
Paraguay,43,6.74E-06,0.67,6375830,JavaScript
Hong Kong,46,6.67E-06,0.67,6898686,Objective-C
Ecuador,99,6.69E-06,0.67,14790608,PHP
Syria,146,6.58E-06,0.66,22198110,C
Morocco,208,6.58E-06,0.66,31627428,PHP
Bolivia,65,6.53E-06,0.65,9947418,C++
Turkey,508,6.53E-06,0.65,77804122,Objective-C
Vietnam,577,6.44E-06,0.64,89571130,C++
Iran,493,6.41E-06,0.64,76923300,C++
Bolivia,64,6.43E-06,0.64,9947418,Ruby
Lebanon,26,6.30E-06,0.63,4125247,C
Mauritius,8,6.18E-06,0.62,1294104,Java
Sri Lanka,134,6.23E-06,0.62,21513990,C++
Mauritius,8,6.18E-06,0.62,1294104,Objective-C
Bosnia and Herzegovina,28,6.10E-06,0.61,4590000,C
Kyrgyzstan,33,5.99E-06,0.6,5508626,Java
Luxembourg,3,6.03E-06,0.6,497538,Shell
Uganda,199,5.96E-06,0.6,33398682,JavaScript
Uzbekistan,167,5.99E-06,0.6,27865738,Ruby
Zambia,80,5.94E-06,0.59,13460305,C
Cape Verde,3,5.90E-06,0.59,508659,JavaScript
Ecuador,86,5.81E-06,0.58,14790608,C#
Senegal,72,5.84E-06,0.58,12323252,PHP
Bangladesh,894,5.73E-06,0.57,156118464,Java
Vietnam,514,5.74E-06,0.57,89571130,C
Jamaica,16,5.62E-06,0.56,2847232,C#
Namibia,12,5.64E-06,0.56,2128471,C++
Senegal,69,5.60E-06,0.56,12323252,JavaScript
Rwanda,62,5.61E-06,0.56,11055976,Ruby
Saudi Arabia,142,5.52E-06,0.55,25731776,C
Ethiopia,472,5.36E-06,0.54,88013491,PHP
Bahrain,4,5.42E-06,0.54,738004,PHP
Iran,412,5.36E-06,0.54,76923300,Python
Mexico,598,5.32E-06,0.53,112468855,Shell
Kyrgyzstan,29,5.26E-06,0.53,5508626,C++
Guatemala,72,5.31E-06,0.53,13550440,JavaScript
Uzbekistan,149,5.35E-06,0.53,27865738,PHP
Guyana,4,5.34E-06,0.53,748486,Ruby
Mongolia,16,5.18E-06,0.52,3086918,C#
Brazil,1016,5.05E-06,0.51,201103330,C#
Thailand,345,5.14E-06,0.51,67089500,C
Pakistan,938,5.09E-06,0.51,184404791,Ruby
Pakistan,913,4.95E-06,0.5,184404791,C++
Afghanistan,147,5.05E-06,0.5,29121286,Ruby
Azerbaijan,40,4.82E-06,0.48,8303512,Shell
Ecuador,71,4.80E-06,0.48,14790608,Shell
United Arab Emirates,24,4.82E-06,0.48,4975593,C#
China,6438,4.84E-06,0.48,1330044000,C#
Syria,104,4.69E-06,0.47,22198110,Java
Singapore,22,4.68E-06,0.47,4701069,Shell
Bangladesh,735,4.71E-06,0.47,156118464,C++
Puerto Rico,18,4.60E-06,0.46,3916632,Java
Nigeria,702,4.56E-06,0.46,154000000,JavaScript
Saudi Arabia,116,4.51E-06,0.45,25731776,C#
Singapore,21,4.47E-06,0.45,4701069,C++
Myanmar,239,4.47E-06,0.45,53414374,JavaScript
Cyprus,5,4.53E-06,0.45,1102677,Objective-C
Ireland,21,4.54E-06,0.45,4622917,Objective-C
Montenegro,3,4.50E-06,0.45,666730,Python
Kosovo,8,4.44E-06,0.44,1800000,Shell
India,5132,4.37E-06,0.44,1173108018,C++
Egypt,351,4.36E-06,0.44,80471869,PHP
Oman,13,4.38E-06,0.44,2967717,All
Saudi Arabia,110,4.27E-06,0.43,25731776,PHP
Tunisia,45,4.25E-06,0.42,10589025,Python
Paraguay,26,4.08E-06,0.41,6375830,Java
Guyana,3,4.01E-06,0.4,748486,Java
Egypt,322,4.00E-06,0.4,80471869,Java
Peru,120,4.01E-06,0.4,29907003,C#
Guyana,3,4.01E-06,0.4,748486,C
Morocco,128,4.05E-06,0.4,31627428,JavaScript
Kosovo,7,3.89E-06,0.39,1800000,Java
Palestinian Territory,15,3.95E-06,0.39,3800000,JavaScript
Guatemala,51,3.76E-06,0.38,13550440,Java
Mexico,424,3.77E-06,0.38,112468855,C++
United Arab Emirates,19,3.82E-06,0.38,4975593,Objective-C
Ecuador,56,3.79E-06,0.38,14790608,Objective-C
Ivory Coast,79,3.75E-06,0.38,21058798,All
Sri Lanka,79,3.67E-06,0.37,21513990,Shell
Pakistan,675,3.66E-06,0.37,184404791,PHP
French Polynesia,1,3.70E-06,0.37,270485,Python
Saudi Arabia,94,3.65E-06,0.37,25731776,Ruby
Indonesia,863,3.55E-06,0.36,242968342,C
Kuwait,10,3.59E-06,0.36,2789132,JavaScript
Egypt,283,3.52E-06,0.35,80471869,C
Bangladesh,553,3.54E-06,0.35,156118464,Python
Nepal,100,3.45E-06,0.35,28951852,Python
Nigeria,541,3.51E-06,0.35,154000000,Ruby
Oman,10,3.37E-06,0.34,2967717,Java
Fiji,3,3.42E-06,0.34,875983,Java
Senegal,42,3.41E-06,0.34,12323252,Java
Kyrgyzstan,19,3.45E-06,0.34,5508626,Shell
Turkmenistan,17,3.44E-06,0.34,4940916,JavaScript
Cambodia,48,3.32E-06,0.33,14453680,C
Bahamas,1,3.31E-06,0.33,301790,C++
Nigeria,511,3.32E-06,0.33,154000000,PHP
Tunisia,34,3.21E-06,0.32,10589025,Java
Palestinian Territory,12,3.16E-06,0.32,3800000,PHP
Iraq,96,3.24E-06,0.32,29671605,All
Kazakhstan,48,3.13E-06,0.31,15340000,Shell
Uzbekistan,85,3.05E-06,0.31,27865738,C#
India,3470,2.96E-06,0.3,1173108018,Shell
Vietnam,265,2.96E-06,0.3,89571130,C#
Indonesia,725,2.98E-06,0.3,242968342,C++
Brazil,596,2.96E-06,0.3,201103330,Objective-C
Dominican Republic,29,2.95E-06,0.3,9823821,Python
Myanmar,161,3.01E-06,0.3,53414374,Ruby
Indonesia,704,2.90E-06,0.29,242968342,C#
Kazakhstan,45,2.93E-06,0.29,15340000,Objective-C
Panama,10,2.93E-06,0.29,3410676,PHP
Mozambique,65,2.95E-06,0.29,22061451,All
Morocco,88,2.78E-06,0.28,31627428,Java
Rwanda,30,2.71E-06,0.27,11055976,PHP
Pakistan,501,2.72E-06,0.27,184404791,Python
Hong Kong,18,2.61E-06,0.26,6898686,C
Honduras,21,2.63E-06,0.26,7989415,C
Algeria,91,2.63E-06,0.26,34586184,C++
East Timor,3,2.60E-06,0.26,1154625,JavaScript
Vietnam,234,2.61E-06,0.26,89571130,Objective-C
Singapore,12,2.55E-06,0.26,4701069,Objective-C
Myanmar,139,2.60E-06,0.26,53414374,PHP
Palestinian Territory,10,2.63E-06,0.26,3800000,Ruby
Botswana,5,2.46E-06,0.25,2029307,Java
Malta,1,2.48E-06,0.25,403000,C
Tajikistan,19,2.54E-06,0.25,7487489,C++
Uzbekistan,70,2.51E-06,0.25,27865738,C++
Algeria,87,2.52E-06,0.25,34586184,JavaScript
Maldives,1,2.53E-06,0.25,395650,PHP
Mali,34,2.46E-06,0.25,13796354,Ruby
Liberia,9,2.44E-06,0.24,3685076,Java
Namibia,5,2.35E-06,0.23,2128471,Java
Indonesia,563,2.32E-06,0.23,242968342,Shell
Panama,8,2.35E-06,0.23,3410676,JavaScript
Puerto Rico,9,2.30E-06,0.23,3916632,Objective-C
Mauritius,3,2.32E-06,0.23,1294104,Ruby
Uganda,72,2.16E-06,0.22,33398682,Java
Jordan,14,2.19E-06,0.22,6407085,Shell
United Arab Emirates,11,2.21E-06,0.22,4975593,C++
Guatemala,30,2.21E-06,0.22,13550440,PHP
Libya,14,2.17E-06,0.22,6461454,PHP
Hong Kong,15,2.17E-06,0.22,6898686,PHP
Kosovo,4,2.22E-06,0.22,1800000,Ruby
Zimbabwe,24,2.06E-06,0.21,11651858,C#
Jamaica,6,2.11E-06,0.21,2847232,Objective-C
Haiti,20,2.07E-06,0.21,9648924,All
Burundi,21,2.13E-06,0.21,9863117,All
Cape Verde,1,1.97E-06,0.2,508659,Java
Albania,6,2.01E-06,0.2,2986952,C
Sri Lanka,43,2.00E-06,0.2,21513990,C
Senegal,25,2.03E-06,0.2,12323252,Python
Chad,21,1.99E-06,0.2,10543464,All
Uganda,63,1.89E-06,0.19,33398682,PHP
Cameroon,35,1.81E-06,0.18,19294149,C#
Peru,54,1.81E-06,0.18,29907003,C++
Mexico,201,1.79E-06,0.18,112468855,Objective-C
Yemen,43,1.83E-06,0.18,23495361,PHP
Singapore,8,1.70E-06,0.17,4701069,Java
Armenia,5,1.68E-06,0.17,2968000,Shell
Guatemala,23,1.70E-06,0.17,13550440,C#
Pakistan,317,1.72E-06,0.17,184404791,Objective-C
Azerbaijan,14,1.69E-06,0.17,8303512,PHP
Somalia,16,1.58E-06,0.16,10112453,Shell
Ghana,39,1.60E-06,0.16,24339838,C#
Jordan,10,1.56E-06,0.16,6407085,C
Kyrgyzstan,9,1.63E-06,0.16,5508626,C
Peru,47,1.57E-06,0.16,29907003,Objective-C
Uzbekistan,44,1.58E-06,0.16,27865738,Python
Syria,35,1.58E-06,0.16,22198110,Python
Ghana,37,1.52E-06,0.15,24339838,C
Montenegro,1,1.50E-06,0.15,666730,C
Bangladesh,230,1.47E-06,0.15,156118464,C
Tunisia,16,1.51E-06,0.15,10589025,C
Swaziland,2,1.48E-06,0.15,1354051,Python
Jordan,9,1.40E-06,0.14,6407085,Java
Malawi,21,1.36E-06,0.14,15447500,Java
Madagascar,30,1.41E-06,0.14,21281844,JavaScript
Liberia,5,1.36E-06,0.14,3685076,Python
Paraguay,9,1.41E-06,0.14,6375830,Ruby
Comoros,1,1.29E-06,0.13,773407,Java
Gambia,2,1.26E-06,0.13,1593256,C
Ethiopia,111,1.26E-06,0.13,88013491,JavaScript
Tajikistan,10,1.34E-06,0.13,7487489,PHP
Guatemala,18,1.33E-06,0.13,13550440,Python
Benin,12,1.33E-06,0.13,9056010,Python
Tajikistan,10,1.34E-06,0.13,7487489,Ruby
Serbia and Montenegro,14,1.29E-06,0.13,10829175,All
Saudi Arabia,30,1.17E-06,0.12,25731776,Java
Iran,89,1.16E-06,0.12,76923300,Shell
Tunisia,13,1.23E-06,0.12,10589025,Shell
Madagascar,26,1.22E-06,0.12,21281844,Shell
India,1431,1.22E-06,0.12,1173108018,C#
Iran,93,1.21E-06,0.12,76923300,C#
Lebanon,5,1.21E-06,0.12,4125247,C#
India,1359,1.16E-06,0.12,1173108018,Objective-C
Bangladesh,181,1.16E-06,0.12,156118464,Objective-C
Nicaragua,7,1.17E-06,0.12,5995928,Objective-C
Morocco,38,1.20E-06,0.12,31627428,Python
Madagascar,24,1.13E-06,0.11,21281844,Java
Bangladesh,168,1.08E-06,0.11,156118464,Shell
Kenya,44,1.10E-06,0.11,40046566,C++
Egypt,86,1.07E-06,0.11,80471869,C++
Malawi,17,1.10E-06,0.11,15447500,PHP
Puerto Rico,4,1.02E-06,0.1,3916632,Shell
Rwanda,11,9.95E-07,0.1,11055976,Shell
Dominican Republic,10,1.02E-06,0.1,9823821,C
Madagascar,22,1.03E-06,0.1,21281844,C
Tanzania,43,1.03E-06,0.1,41892895,JavaScript
Zambia,14,1.04E-06,0.1,13460305,JavaScript
Benin,9,9.94E-07,0.1,9056010,PHP
Zambia,13,9.66E-07,0.1,13460305,PHP
Armenia,3,1.01E-06,0.1,2968000,Ruby
Saudi Arabia,22,8.55E-07,0.09,25731776,Shell
Dominican Republic,9,9.16E-07,0.09,9823821,Shell
Tanzania,38,9.07E-07,0.09,41892895,Ruby
Uganda,28,8.38E-07,0.08,33398682,Shell
Egypt,63,7.83E-07,0.08,80471869,Shell
Pakistan,150,8.13E-07,0.08,184404791,C#
Saudi Arabia,21,8.16E-07,0.08,25731776,C++
Paraguay,5,7.84E-07,0.08,6375830,C++
Angola,11,8.42E-07,0.08,13068161,JavaScript
Egypt,67,8.33E-07,0.08,80471869,Objective-C
Afghanistan,24,8.24E-07,0.08,29121286,PHP
Nigeria,118,7.66E-07,0.08,154000000,Python
Zimbabwe,9,7.72E-07,0.08,11651858,Python
Afghanistan,20,6.87E-07,0.07,29121286,Java
Ghana,16,6.57E-07,0.07,24339838,Shell
Kuwait,2,7.17E-07,0.07,2789132,C#
Thailand,47,7.01E-07,0.07,67089500,C#
Oman,2,6.74E-07,0.07,2967717,C
Iran,55,7.15E-07,0.07,76923300,C
Iran,56,7.28E-07,0.07,76923300,Objective-C
Oman,2,6.74E-07,0.07,2967717,PHP
Albania,2,6.70E-07,0.07,2986952,Python
Cameroon,13,6.74E-07,0.07,19294149,Ruby
Angola,9,6.89E-07,0.07,13068161,Ruby
Morocco,21,6.64E-07,0.07,31627428,Ruby
Nigeria,86,5.58E-07,0.06,154000000,Java
Uzbekistan,17,6.10E-07,0.06,27865738,Java
Kosovo,1,5.56E-07,0.06,1800000,C
Uganda,19,5.69E-07,0.06,33398682,C
Cambodia,9,6.23E-07,0.06,14453680,C++
Ghana,14,5.75E-07,0.06,24339838,C++
Somalia,6,5.93E-07,0.06,10112453,PHP
Gambia,1,6.28E-07,0.06,1593256,PHP
Benin,5,5.52E-07,0.06,9056010,Ruby
Sudan,20,5.71E-07,0.06,35000000,All
Algeria,16,4.63E-07,0.05,34586184,Java
Myanmar,26,4.87E-07,0.05,53414374,Java
Pakistan,84,4.56E-07,0.05,184404791,Shell
Bangladesh,73,4.68E-07,0.05,156118464,C#
Eritrea,3,5.18E-07,0.05,5792984,JavaScript
Madagascar,10,4.70E-07,0.05,21281844,PHP
Hong Kong,3,4.35E-07,0.04,6898686,Java
Tanzania,15,3.58E-07,0.04,41892895,Shell
Kenya,16,4.00E-07,0.04,40046566,C#
Nepal,13,4.49E-07,0.04,28951852,C#
Tunisia,4,3.78E-07,0.04,10589025,C++
Tajikistan,3,4.01E-07,0.04,7487489,JavaScript
Indonesia,101,4.16E-07,0.04,242968342,Objective-C
Nepal,12,4.14E-07,0.04,28951852,Objective-C
Honduras,3,3.75E-07,0.04,7989415,Objective-C
Madagascar,8,3.76E-07,0.04,21281844,Python
Democratic Republic of the Congo,30,4.23E-07,0.04,70916439,Ruby
Benin,3,3.31E-07,0.03,9056010,Java
Zimbabwe,4,3.43E-07,0.03,11651858,Java
Oman,1,3.37E-07,0.03,2967717,Shell
Peru,10,3.34E-07,0.03,29907003,Shell
Malawi,5,3.24E-07,0.03,15447500,Shell
Nigeria,40,2.60E-07,0.03,154000000,Shell
Algeria,10,2.89E-07,0.03,34586184,Shell
Nepal,9,3.11E-07,0.03,28951852,Shell
Syria,6,2.70E-07,0.03,22198110,Shell
Algeria,10,2.89E-07,0.03,34586184,C#
Pakistan,49,2.66E-07,0.03,184404791,C
Peru,10,3.34E-07,0.03,29907003,C
Tanzania,12,2.86E-07,0.03,41892895,C++
Oman,1,3.37E-07,0.03,2967717,JavaScript
Libya,2,3.10E-07,0.03,6461454,JavaScript
Zimbabwe,4,3.43E-07,0.03,11651858,JavaScript
Bolivia,3,3.02E-07,0.03,9947418,Objective-C
Ghana,7,2.88E-07,0.03,24339838,Objective-C
Armenia,1,3.37E-07,0.03,2968000,Objective-C
Dominican Republic,3,3.05E-07,0.03,9823821,Objective-C
Algeria,10,2.89E-07,0.03,34586184,PHP
Haiti,3,3.11E-07,0.03,9648924,PHP
Cambodia,5,3.46E-07,0.03,14453680,Python
Albania,1,3.35E-07,0.03,2986952,Ruby
Mozambique,5,2.27E-07,0.02,22061451,Java
Guatemala,3,2.21E-07,0.02,13550440,Shell
Uzbekistan,5,1.79E-07,0.02,27865738,Shell
Senegal,2,1.62E-07,0.02,12323252,Shell
Benin,2,2.21E-07,0.02,9056010,C
Madagascar,5,2.35E-07,0.02,21281844,Objective-C
Sierra Leone,1,1.91E-07,0.02,5245695,Objective-C
Angola,2,1.53E-07,0.02,13068161,PHP
Ethiopia,8,9.09E-08,0.01,88013491,Java
Zambia,1,7.43E-08,0.01,13460305,Java
Zimbabwe,1,8.58E-08,0.01,11651858,Shell
Ethiopia,7,7.95E-08,0.01,88013491,C#
Nigeria,18,1.17E-07,0.01,154000000,C#
Guatemala,1,7.38E-08,0.01,13550440,C
Tanzania,3,7.16E-08,0.01,41892895,C
Azerbaijan,1,1.20E-07,0.01,8303512,C
Nigeria,18,1.17E-07,0.01,154000000,C
Nepal,4,1.38E-07,0.01,28951852,C
Madagascar,2,9.40E-08,0.01,21281844,C++
Nigeria,20,1.30E-07,0.01,154000000,C++
Morocco,3,9.49E-08,0.01,31627428,C++
Zimbabwe,1,8.58E-08,0.01,11651858,C++
Haiti,1,1.04E-07,0.01,9648924,JavaScript
Azerbaijan,1,1.20E-07,0.01,8303512,Objective-C
Tanzania,4,9.55E-08,0.01,41892895,PHP
Ethiopia,8,9.09E-08,0.01,88013491,Python
Cameroon,1,5.18E-08,0.01,19294149,Python
Malawi,1,6.47E-08,0.01,15447500,Python
Myanmar,3,5.62E-08,0.01,53414374,Python
Sudan,4,1.14E-07,0.01,35000000,Ruby
Tanzania,1,2.39E-08,0,41892895,Java
Antarctica,2,0,0,0,Java
Morocco,1,3.16E-08,0,31627428,Shell
Morocco,1,3.16E-08,0,31627428,C#
Syria,1,4.50E-08,0,22198110,Objective-C
Myanmar,1,1.87E-08,0,53414374,Objective-C
Democratic Republic of the Congo,2,2.82E-08,0,70916439,PHP
Iraq,1,3.37E-08,0,29671605,Python
North Korea,1,4.36E-08,0,22912177,Ruby
Antarctica,12,0,0,0,Ruby
Bouvet Island,106,0,0,0,All
Antarctica,2579,0,0,0,All
